Priority | Area | Timeslot | Duration | Frequency | Time | ID | Operator
[[1. 1. 0. 9. 1. 1. 1. 2.]]
[[2. 4. 1. 1. 2. 2. 2. 3.]]
[[2. 6. 2. 4. 2. 3. 3. 2.]]
[[  2.   2. 132.   7.   2.   1. 102.   2.]]
[[  2.   2. 133.   7.   1.   2. 103.   1.]]
[[  3.   2. 135.   6.   2.   1. 104.   1.]]
[[  2.   9. 137.   9.   3.   3. 105.   2.]]
[[  1.   3. 138.   2.   3.   1. 106.   1.]]
[[  2.   1. 139.   3.   1.   1. 107.   3.]]
[[  3.   2. 141.   3.   1.   2. 108.   1.]]
[[  2.   3. 143.   7.   3.   1. 109.   2.]]
[[  3.   9. 144.   4.   3.   3. 110.   1.]]
[[  3.   6. 145.   3.   2.   3. 111.   2.]]
[[  3.   9. 146.   1.   3.   3. 112.   1.]]
[[  3.   1. 147.   2.   1.   1. 113.   3.]]
[[  3.   9. 148.   8.   3.   3. 114.   2.]]
[[  2.   6. 150.  10.   3.   2. 115.   1.]]
[[  3.   1. 151.   1.   1.   1. 116.   2.]]
[[  2.   6. 152.   8.   3.   2. 117.   1.]]
[[  1.   6. 153.   8.   3.   2. 118.   2.]]
[[  2.   3. 154.   2.   3.   1. 119.   1.]]
[[  2.   6. 155.   7.   2.   3. 120.   2.]]
[[  3.   2. 156.   2.   2.   1. 121.   2.]]
[[  2.   6. 158.   6.   2.   3. 122.   2.]]
[[  3.   2. 160.   6.   2.   1. 123.   1.]]
[[  1.   6. 161.   3.   3.   2. 124.   3.]]
[[  2.   2. 163.   2.   1.   2. 125.   2.]]
[[  2.   9. 164.   8.   3.   3. 126.   2.]]
[[  3.   2. 165.   5.   1.   2. 127.   3.]]
[[  3.   2. 166.   1.   2.   1. 128.   1.]]
[[  2.   9. 168.   1.   3.   3. 129.   2.]]
[[  2.   3. 171.   7.   1.   3. 130.   2.]]
[[  3.   2. 172.   2.   1.   2. 131.   1.]]
[[  3.   6. 173.  10.   2.   3. 132.   1.]]
[[  2.   2. 174.   1.   1.   2. 133.   1.]]
[[  2.   2. 175.   1.   1.   2. 134.   2.]]
[[  2.   4. 176.   8.   2.   2. 135.   1.]]
[[  2.   4. 177.   5.   2.   2. 136.   2.]]
[[  3.   2. 178.   8.   2.   1. 137.   1.]]
[[  2.   9. 180.   1.   3.   3. 138.   2.]]
[[  3.   2. 181.   7.   1.   2. 139.   3.]]
[[  3.   3. 182.   8.   3.   1. 140.   2.]]
[[  3.   3. 183.   5.   3.   1. 141.   1.]]
[[  1.   3. 184.   1.   1.   3. 142.   2.]]
[[  1.   2. 185.   6.   2.   1. 143.   1.]]
[[  3.   9. 186.  10.   3.   3. 144.   3.]]
[[  3.   6. 187.   9.   3.   2. 145.   1.]]
[[  3.   3. 188.   5.   1.   3. 146.   2.]]
[[  2.   1. 189.   6.   1.   1. 147.   2.]]
[[  3.   3. 190.  10.   1.   3. 148.   1.]]
[[  1.   2. 191.   3.   2.   1. 149.   2.]]
[[  1.   3. 192.   3.   1.   3. 150.   3.]]
[[  3.   6. 194.   4.   2.   3. 151.   3.]]
[[  3.   6. 195.   7.   3.   2. 152.   2.]]
[[  3.   2. 196.   3.   1.   2. 153.   2.]]
[[  1.   3. 197.   8.   1.   3. 154.   1.]]
[[  1.   6. 199.   9.   3.   2. 155.   3.]]
[[  3.   3. 200.   1.   3.   1. 156.   2.]]
[[  3.   6. 201.   5.   2.   3. 157.   3.]]
[[  1.   2. 202.   6.   2.   1. 158.   2.]]
[[  2.   2. 203.   6.   1.   2. 159.   3.]]
[[  3.   2. 204.   9.   1.   2. 160.   1.]]
[[  2.   2. 205.   6.   2.   1. 161.   3.]]
[[  3.   9. 206.  10.   3.   3. 162.   2.]]
[[  2.   6. 207.   6.   2.   3. 163.   1.]]
[[  3.   6. 208.   5.   2.   3. 164.   2.]]
[[  3.   2. 209.   6.   2.   1. 165.   2.]]
[[  3.   2. 210.  10.   2.   1. 166.   1.]]
[[  2.   3. 211.   2.   1.   3. 167.   3.]]
[[  3.   6. 212.   2.   3.   2. 168.   1.]]
[[  2.   2. 213.   7.   1.   2. 169.   3.]]
[[  2.   9. 214.   5.   3.   3. 170.   2.]]
[[  2.   4. 216.   8.   2.   2. 171.   3.]]
[[  3.   3. 218.   7.   3.   1. 172.   2.]]
[[  2.   2. 219.   9.   2.   1. 173.   3.]]
[[  2.   6. 221.   1.   2.   3. 174.   2.]]
[[  3.   6. 223.   3.   3.   2. 175.   3.]]
[[  1.   3. 225.   8.   3.   1. 176.   1.]]
[[  2.   3. 226.   7.   1.   3. 177.   1.]]
[[  3.   6. 228.   3.   3.   2. 178.   1.]]
[[  3.   2. 230.  10.   2.   1. 179.   2.]]
[[  2.   3. 231.   1.   3.   1. 180.   1.]]
[[  2.   2. 232.   1.   1.   2. 181.   1.]]
[[  3.   6. 235.   6.   3.   2. 182.   2.]]
[[  2.   6. 236.   7.   3.   2. 183.   2.]]
[[  2.   3. 237.   4.   1.   3. 184.   3.]]
[[  2.   3. 238.   2.   1.   3. 185.   1.]]
[[  2.   6. 239.   5.   2.   3. 186.   2.]]
[[  2.   6. 240.   1.   2.   3. 187.   2.]]
[[  1.   6. 241.   4.   2.   3. 188.   2.]]
[[  3.   2. 242.   5.   2.   1. 189.   3.]]
[[  3.   3. 244.   4.   1.   3. 190.   1.]]
[[  3.   2. 245.   4.   2.   1. 191.   2.]]
[[  2.   1. 246.  10.   1.   1. 192.   2.]]
[[  3.   3. 247.   7.   3.   1. 193.   1.]]
[[  3.   4. 248.   3.   2.   2. 194.   1.]]
[[  1.   6. 249.   6.   3.   2. 195.   3.]]
[[  1.   2. 250.   6.   1.   2. 196.   2.]]
[[  2.   9. 251.   9.   3.   3. 197.   1.]]
[[  3.   3. 252.  10.   3.   1. 198.   1.]]
[[  2.   4. 253.  10.   2.   2. 199.   3.]]
[[  2.   9. 255.   5.   3.   3. 200.   2.]]
[[  3.   2. 256.   1.   1.   2. 201.   1.]]
[[  2.   2. 257.  10.   2.   1. 202.   2.]]
[[  3.   9. 258.   8.   3.   3. 203.   2.]]
[[  3.   6. 259.   4.   3.   2. 204.   1.]]
[[  2.   9. 260.  10.   3.   3. 205.   1.]]
[[  2.   2. 262.   3.   1.   2. 206.   1.]]
[[  3.   3. 263.   7.   3.   1. 207.   2.]]
[[  1.   1. 264.   8.   1.   1. 208.   1.]]
[[  3.   2. 265.   9.   2.   1. 209.   1.]]
[[  2.   2. 266.   4.   2.   1. 210.   2.]]
[[  3.   2. 267.   5.   1.   2. 211.   3.]]
[[  3.   3. 268.   9.   1.   3. 212.   1.]]
[[  3.   2. 269.   3.   2.   1. 213.   1.]]
[[  2.   4. 270.   4.   2.   2. 214.   1.]]
[[  1.   2. 271.   6.   1.   2. 215.   3.]]
[[  1.   3. 273.   3.   1.   3. 216.   1.]]
[[  3.   4. 274.   8.   2.   2. 217.   3.]]
[[  2.   6. 275.   1.   2.   3. 218.   2.]]
[[  3.   3. 276.   9.   1.   3. 219.   2.]]
[[  2.   4. 277.  10.   2.   2. 220.   3.]]
[[  2.   6. 279.   5.   2.   3. 221.   2.]]
[[  3.   4. 280.   7.   2.   2. 222.   1.]]
[[  1.   4. 281.   7.   2.   2. 223.   3.]]
[[  2.   3. 282.   8.   3.   1. 224.   1.]]
[[  2.   4. 283.   5.   2.   2. 225.   2.]]
[[  3.   2. 285.   4.   2.   1. 226.   2.]]
[[  2.   1. 286.   1.   1.   1. 227.   2.]]
[[  1.   9. 287.   9.   3.   3. 228.   3.]]
[[  1.   2. 288.   9.   1.   2. 229.   2.]]
[[  3.   3. 289.   6.   1.   3. 230.   2.]]
[[  3.   2. 290.   8.   1.   2. 231.   3.]]
[[  3.   9. 291.   4.   3.   3. 232.   2.]]
[[  3.   1. 292.   9.   1.   1. 233.   2.]]
[[  2.   6. 293.   5.   3.   2. 234.   2.]]
[[  1.   2. 294.   5.   2.   1. 235.   2.]]
[[  3.   3. 297.   5.   3.   1. 236.   2.]]
[[  1.   6. 298.   8.   3.   2. 237.   2.]]
[[  3.   3. 299.   4.   1.   3. 238.   2.]]
[[  3.   3. 301.  10.   3.   1. 239.   2.]]
[[  3.   3. 303.   9.   1.   3. 240.   2.]]
[[  1.   9. 305.   9.   3.   3. 241.   3.]]
[[  3.   9. 306.   5.   3.   3. 242.   1.]]
[[  1.   1. 307.   3.   1.   1. 243.   2.]]
[[  3.   4. 309.   6.   2.   2. 244.   1.]]
[[  2.   3. 310.   8.   1.   3. 245.   2.]]
[[  3.   1. 312.   3.   1.   1. 246.   1.]]
[[  2.   6. 313.  10.   3.   2. 247.   2.]]
[[  1.   6. 314.   6.   2.   3. 248.   2.]]
[[  2.   9. 315.   3.   3.   3. 249.   1.]]
[[  3.   6. 316.   6.   2.   3. 250.   3.]]
[[  1.   4. 317.   4.   2.   2. 251.   2.]]
[[  3.   6. 320.   6.   2.   3. 252.   3.]]
[[  3.   2. 321.   9.   2.   1. 253.   1.]]
[[  3.   6. 322.   7.   3.   2. 254.   3.]]
[[  3.   2. 323.   8.   2.   1. 255.   1.]]
[[  1.   2. 324.   9.   1.   2. 256.   1.]]
[[  3.   1. 325.   5.   1.   1. 257.   2.]]
[[  3.   6. 326.   6.   2.   3. 258.   2.]]
[[  3.   3. 327.  10.   1.   3. 259.   3.]]
[[  2.   3. 328.   2.   3.   1. 260.   1.]]
[[  3.   1. 329.  10.   1.   1. 261.   2.]]
[[  3.   3. 332.   9.   3.   1. 262.   1.]]
[[  2.   1. 333.   5.   1.   1. 263.   3.]]
[[  3.   2. 334.   5.   1.   2. 264.   1.]]
[[  1.   1. 336.   9.   1.   1. 265.   1.]]
[[  3.   3. 337.   7.   1.   3. 266.   1.]]
[[  2.   2. 338.  10.   1.   2. 267.   2.]]
[[  3.   1. 339.  10.   1.   1. 268.   1.]]
[[  1.   2. 340.  10.   1.   2. 269.   2.]]
[[  2.   2. 341.   2.   1.   2. 270.   2.]]
[[  3.   2. 342.   6.   1.   2. 271.   2.]]
[[  2.   3. 343.   5.   3.   1. 272.   3.]]
[[  1.   3. 345.   5.   3.   1. 273.   2.]]
[[  3.   9. 346.   2.   3.   3. 274.   2.]]
[[  3.   6. 347.   2.   2.   3. 275.   3.]]
[[  3.   6. 350.  10.   3.   2. 276.   1.]]
[[  3.   6. 351.   7.   2.   3. 277.   1.]]
[[  3.   3. 352.   2.   1.   3. 278.   2.]]
[[  2.   4. 354.   4.   2.   2. 279.   3.]]
[[  3.   6. 355.   5.   3.   2. 280.   1.]]
[[  1.   2. 356.   1.   2.   1. 281.   1.]]
[[  3.   3. 357.  10.   3.   1. 282.   1.]]
[[  2.   6. 358.   9.   3.   2. 283.   2.]]
[[  3.   6. 360.   2.   3.   2. 284.   1.]]
[[  2.   3. 362.   9.   3.   1. 285.   1.]]
[[  2.   2. 363.  10.   2.   1. 286.   2.]]
[[  3.   2. 364.   4.   2.   1. 287.   2.]]
[[  1.   4. 365.   9.   2.   2. 288.   2.]]
[[  2.   3. 367.   3.   1.   3. 289.   1.]]
[[  2.   2. 368.   2.   2.   1. 290.   2.]]
[[  2.   2. 369.   7.   1.   2. 291.   1.]]
[[  3.   3. 370.   1.   1.   3. 292.   1.]]
[[  2.   9. 372.   9.   3.   3. 293.   1.]]
[[  3.   6. 373.   5.   3.   2. 294.   1.]]
[[  2.   6. 374.   1.   3.   2. 295.   1.]]
[[  2.   3. 376.   1.   3.   1. 296.   3.]]
[[  3.   2. 378.  10.   1.   2. 297.   2.]]
[[  3.   9. 379.   3.   3.   3. 298.   1.]]
[[  3.   6. 380.   7.   2.   3. 299.   3.]]
[[  3.   2. 381.   6.   2.   1. 300.   2.]]
[[  3.   3. 382.   7.   1.   3. 301.   2.]]
[[  1.   3. 383.   3.   1.   3. 302.   2.]]
[[  2.   3. 384.   2.   1.   3. 303.   2.]]
[[  2.   4. 386.   7.   2.   2. 304.   1.]]
[[  1.   4. 387.   1.   2.   2. 305.   2.]]
[[  3.   6. 388.  10.   3.   2. 306.   2.]]
[[  2.   9. 389.   8.   3.   3. 307.   1.]]
[[  3.   1. 390.   2.   1.   1. 308.   1.]]
[[  2.   2. 391.   2.   2.   1. 309.   2.]]
[[  3.   2. 392.   1.   2.   1. 310.   1.]]
[[  2.   4. 394.   5.   2.   2. 311.   1.]]
[[  1.   2. 395.   4.   2.   1. 312.   1.]]
[[  3.   3. 396.   1.   3.   1. 313.   2.]]
[[  1.   2. 397.   7.   2.   1. 314.   1.]]
[[  2.   3. 398.   2.   3.   1. 315.   2.]]
[[  2.   3. 399.  10.   1.   3. 316.   3.]]
[[  1.   3. 401.   5.   1.   3. 317.   2.]]
[[  3.   3. 403.   6.   3.   1. 318.   2.]]
[[  2.   9. 404.   1.   3.   3. 319.   1.]]
[[  2.   3. 405.   2.   1.   3. 320.   2.]]
[[  2.   6. 406.   7.   2.   3. 321.   2.]]
[[  3.   6. 407.   2.   2.   3. 322.   2.]]
[[  3.   4. 408.   4.   2.   2. 323.   1.]]
[[  1.   3. 409.   5.   1.   3. 324.   2.]]
[[  3.   1. 410.   8.   1.   1. 325.   2.]]
[[  3.   2. 411.   9.   2.   1. 326.   1.]]
[[  2.   6. 412.  10.   3.   2. 327.   2.]]
[[  2.   2. 413.   9.   2.   1. 328.   2.]]
[[  2.   2. 414.   4.   2.   1. 329.   1.]]
[[  2.   9. 415.   4.   3.   3. 330.   1.]]
[[  1.   6. 416.   7.   3.   2. 331.   2.]]
[[  3.   2. 417.   8.   1.   2. 332.   3.]]
[[  2.   6. 418.   6.   3.   2. 333.   1.]]
[[  3.   6. 420.   7.   3.   2. 334.   1.]]
[[  2.   2. 421.  10.   2.   1. 335.   2.]]
[[  2.   4. 424.   5.   2.   2. 336.   2.]]
[[  2.   9. 425.   2.   3.   3. 337.   1.]]
[[  2.   3. 426.  10.   1.   3. 338.   2.]]
[[  3.   3. 427.   6.   3.   1. 339.   1.]]
[[  3.   4. 428.   4.   2.   2. 340.   2.]]
[[  1.   9. 429.   3.   3.   3. 341.   1.]]
[[  3.   2. 430.   1.   1.   2. 342.   1.]]
[[  2.   6. 432.   2.   2.   3. 343.   3.]]
[[  3.   6. 433.   8.   2.   3. 344.   2.]]
[[  2.   3. 434.   9.   1.   3. 345.   3.]]
[[  2.   3. 436.   8.   1.   3. 346.   1.]]
[[  3.   4. 437.   8.   2.   2. 347.   1.]]
[[  2.   2. 441.   9.   2.   1. 348.   1.]]
[[  3.   6. 442.   3.   2.   3. 349.   2.]]
[[  3.   1. 443.  10.   1.   1. 350.   1.]]
[[  3.   3. 444.  10.   1.   3. 351.   2.]]
[[  3.   4. 445.   7.   2.   2. 352.   2.]]
[[  3.   6. 447.   8.   2.   3. 353.   3.]]
[[  3.   4. 448.   6.   2.   2. 354.   1.]]
[[  2.   1. 449.   3.   1.   1. 355.   1.]]
[[  3.   6. 450.   6.   2.   3. 356.   1.]]
[[  1.   2. 452.   8.   2.   1. 357.   2.]]
[[  1.   6. 453.   5.   3.   2. 358.   2.]]
[[  3.   3. 454.   5.   3.   1. 359.   3.]]
[[  1.   1. 455.   8.   1.   1. 360.   2.]]
[[  2.   6. 456.   8.   2.   3. 361.   2.]]
[[  2.   3. 458.   4.   3.   1. 362.   1.]]
[[  3.   3. 459.   5.   1.   3. 363.   1.]]
[[  3.   6. 460.   5.   3.   2. 364.   2.]]
[[  3.   9. 461.   7.   3.   3. 365.   3.]]
[[  3.   1. 463.   3.   1.   1. 366.   1.]]
[[  2.   3. 464.   7.   3.   1. 367.   1.]]
[[  2.   2. 466.   6.   2.   1. 368.   1.]]
[[  1.   6. 468.  10.   2.   3. 369.   2.]]
[[  2.   2. 469.   4.   1.   2. 370.   1.]]
[[  2.   3. 470.  10.   3.   1. 371.   1.]]
[[  2.   1. 471.   6.   1.   1. 372.   2.]]
[[  3.   3. 472.   8.   3.   1. 373.   1.]]
[[  3.   3. 473.   9.   3.   1. 374.   3.]]
[[  3.   9. 475.   8.   3.   3. 375.   3.]]
[[  3.   6. 476.   5.   3.   2. 376.   2.]]
[[  3.   6. 477.   7.   3.   2. 377.   1.]]
[[  1.   3. 479.   5.   1.   3. 378.   2.]]
[[  3.   2. 481.   6.   1.   2. 379.   1.]]
[[  3.   2. 482.   5.   1.   2. 380.   1.]]
[[  3.   4. 483.  10.   2.   2. 381.   1.]]
[[  2.   4. 484.   8.   2.   2. 382.   1.]]
[[  1.   1. 486.   1.   1.   1. 383.   2.]]
[[  3.   3. 487.   1.   3.   1. 384.   1.]]
[[  3.   3. 488.   3.   3.   1. 385.   1.]]
[[  2.   6. 490.   2.   2.   3. 386.   3.]]
[[  2.   2. 491.   8.   2.   1. 387.   3.]]
[[  3.   6. 492.   6.   2.   3. 388.   2.]]
[[  2.   1. 493.   5.   1.   1. 389.   3.]]
[[  3.   6. 495.   6.   2.   3. 390.   1.]]
[[  2.   6. 496.   9.   2.   3. 391.   2.]]
[[  3.   4. 497.   5.   2.   2. 392.   1.]]
[[  2.   6. 499.   3.   3.   2. 393.   1.]]
[[  2.   6. 502.   6.   3.   2. 394.   3.]]
[[  2.   4. 504.  10.   2.   2. 395.   3.]]
[[  1.   2. 505.   7.   1.   2. 396.   1.]]
[[  3.   1. 507.   2.   1.   1. 397.   1.]]
[[  3.   2. 508.   7.   1.   2. 398.   3.]]
[[  1.   4. 509.   3.   2.   2. 399.   1.]]
[[  3.   9. 511.   5.   3.   3. 400.   1.]]
[[  3.   3. 513.   7.   3.   1. 401.   2.]]
[[  3.   1. 514.   3.   1.   1. 402.   1.]]
[[  3.   2. 515.   2.   1.   2. 403.   3.]]
[[  2.   4. 516.   4.   2.   2. 404.   2.]]
[[  3.   2. 517.  10.   2.   1. 405.   2.]]
[[  3.   9. 520.   1.   3.   3. 406.   2.]]
[[  1.   3. 521.   6.   1.   3. 407.   1.]]
[[  3.   6. 522.   8.   3.   2. 408.   1.]]
[[  3.   1. 523.   1.   1.   1. 409.   2.]]
[[  2.   1. 524.   3.   1.   1. 410.   2.]]
[[  2.   6. 526.   8.   2.   3. 411.   2.]]
[[  3.   1. 527.   8.   1.   1. 412.   2.]]
[[  1.   6. 528.   8.   3.   2. 413.   2.]]
[[  1.   3. 532.   5.   3.   1. 414.   2.]]
[[  3.   1. 533.   7.   1.   1. 415.   2.]]
[[  3.   6. 534.   8.   3.   2. 416.   3.]]
[[  1.   3. 536.   7.   1.   3. 417.   3.]]
[[  2.   6. 537.   5.   2.   3. 418.   1.]]
[[  3.   2. 538.   2.   2.   1. 419.   1.]]
[[  1.   6. 539.   8.   2.   3. 420.   1.]]
[[  3.   2. 541.   6.   1.   2. 421.   1.]]
[[  3.   6. 542.  10.   2.   3. 422.   1.]]
[[  2.   2. 543.   1.   1.   2. 423.   1.]]
[[  2.   4. 544.   8.   2.   2. 424.   1.]]
[[  3.   2. 545.   1.   2.   1. 425.   2.]]
[[  2.   2. 546.   3.   2.   1. 426.   2.]]
[[  2.   3. 547.  10.   1.   3. 427.   3.]]
[[  3.   9. 548.   7.   3.   3. 428.   1.]]
[[  1.   2. 549.   6.   2.   1. 429.   2.]]
[[  3.   9. 551.   8.   3.   3. 430.   2.]]
[[  2.   3. 552.   7.   3.   1. 431.   3.]]
[[  2.   9. 553.   7.   3.   3. 432.   2.]]
[[  3.   4. 554.   6.   2.   2. 433.   2.]]
[[  2.   6. 555.   9.   2.   3. 434.   3.]]
[[  2.   1. 556.   6.   1.   1. 435.   2.]]
[[  3.   9. 557.   7.   3.   3. 436.   1.]]
[[  1.   6. 558.   5.   2.   3. 437.   1.]]
[[  2.   6. 560.   9.   2.   3. 438.   1.]]
[[  3.   4. 561.   5.   2.   2. 439.   2.]]
[[  3.   4. 562.   4.   2.   2. 440.   2.]]
[[  3.   4. 563.   2.   2.   2. 441.   1.]]
[[  3.   6. 565.   8.   2.   3. 442.   2.]]
[[  3.   1. 566.   9.   1.   1. 443.   3.]]
[[  3.   6. 567.   6.   2.   3. 444.   2.]]
[[  2.   3. 568.   3.   3.   1. 445.   2.]]
[[  2.   9. 569.   3.   3.   3. 446.   1.]]
[[  2.   2. 571.   7.   2.   1. 447.   2.]]
[[  2.   2. 574.  10.   1.   2. 448.   2.]]
[[  3.   2. 575.   8.   1.   2. 449.   2.]]
[[  3.   3. 580.   1.   1.   3. 450.   2.]]
[[  3.   3. 581.   7.   3.   1. 451.   3.]]
[[  3.   3. 582.   3.   1.   3. 452.   2.]]
[[  2.   1. 583.  10.   1.   1. 453.   2.]]
[[  2.   6. 585.   7.   3.   2. 454.   2.]]
[[  3.   2. 586.   8.   1.   2. 455.   1.]]
[[  2.   3. 587.   7.   1.   3. 456.   3.]]
[[  1.   3. 590.  10.   3.   1. 457.   1.]]
[[  1.   2. 591.   5.   1.   2. 458.   2.]]
[[  3.   3. 592.   9.   3.   1. 459.   2.]]
[[  1.   2. 594.   4.   1.   2. 460.   1.]]
[[  3.   6. 595.   3.   3.   2. 461.   2.]]
[[  2.   2. 596.   2.   2.   1. 462.   1.]]
[[  3.   3. 597.   9.   3.   1. 463.   2.]]
[[  2.   3. 598.   8.   3.   1. 464.   2.]]
[[  2.   6. 599.   2.   3.   2. 465.   2.]]
[[  2.   2. 600.   2.   1.   2. 466.   2.]]
[[  2.   9. 602.  10.   3.   3. 467.   3.]]
[[  3.   4. 603.   3.   2.   2. 468.   1.]]
[[  2.   6. 604.   2.   3.   2. 469.   3.]]
[[  2.   2. 605.   7.   2.   1. 470.   2.]]
[[  2.   3. 606.   6.   1.   3. 471.   2.]]
[[  1.   9. 607.   3.   3.   3. 472.   3.]]
[[  3.   1. 608.   7.   1.   1. 473.   1.]]
[[  3.   2. 610.   2.   2.   1. 474.   2.]]
[[  3.   6. 611.   2.   2.   3. 475.   2.]]
